month	mt1	mt2	mt3	mt4	mt5	mt6	mt7	sales
01	46449706	12173767	2273691	4413719	11582533	2876595	1353220	3504254037
02	113979534	6989216	2428630	2918823	37599890	14294791	782106	5423083023
03	109228754	4201487	1913192	3293616	32544771	4691250	232073	5295324673
04	102657601	4065326	7873973	9998804	45299517	4082710	3895457	3577425295
05	99773853	6591374	8680841	9498226	57784580	13779245	668092	4215182695
06	133298508	5568987	3615124	17294356	33792205	4504023	3730047	5237107146
07	151532719	2542416	2754716	7394280	29715042	5349293	648587	4076131939
08	77371414	3558802	1878916	4717904	34789158	4302659	3016851	3996380940
09	94031115	3938193	3978966	3202001	34962864	10338653	1146882	3590927469
10	69695565	3276351	5240533	22969426	24814426	5683073	724440	6339139299
11	95018410	3613824	8600403	8302832	37180533	9335299	1236166	5856318874
12	123996768	6662735	7666138	9758478	48651717	9640950	1438060	4060937037
