BMW,84766351;
DECO,229059058;
Discovery,28767052;
DM,75407808;
DM,28565952;
DM,221258781;
EDM,256121977;
EDM,97808291;
HitFM,154221057;
Iradio,136229049;
ICRT,231922031;
IC之音FM975,83105487;
Money,173059759;
NEW989,121513481;
OPEN HOUSE,243938053;
OPEN HOUSE,71240128;
POP Radio,65927649;
TVBS,6651910;
人力庫,158126354;
人力庫,253552890;
人力庫舊,32030728;
人力庫應試者,57689463;
人力庫離職者,158236169;
三立,239238025;
大千,71653595;
大樓管理員保全,234350928;
小眾開發,120048247;
小眾開發,47534938;
小眾開發掃街,88231872;
小眾開發電開個人自有名單,188778578;
小眾開發說明會,249702417;
工商,124376454;
已購,80425380;
已購,6288650;
已購舊,48531974;
已購舊,223172313;
已購舊,132050396;
已購住宅,133981653;
已購客戶,249863255;
已購客戶,76966074;
已購客戶舊,126050082;
已購海外,231996715;
已購廠辦,35966591;
中天,253953593;
中台灣,86369163;
中時,168523158;
中時晚報,205353868;
中時電子報,199627922;
中國郵報,102344892;
中華賓士車主誌,157084030;
中視,195091321;
中廣,106797913;
今周刊,158344191;
介紹舊,210002519;
介紹舊,125157251;
介紹舊,25182483;
內部行銷支出,218395808;
內部行銷支出,203680240;
內部行銷支出,188964672;
內部行銷支出,174249104;
內部行銷支出,189378139;
內部資料庫名單,35682343;
公司內員工本業,192666494;
公司網站,56524560;
公司離職員工,163235358;
公車廣告,229222485;
公車廣告,176724138;
公部門,237372088;
公部門,241941641;
公部門,256816566;
天下,65514182;
戶外引導,111918083;
戶外引導,135828346;
戶外引導OPENHOUSE,112486388;
戶外引導公車廣告,213033094;
戶外引導戶外看板,173410227;
戶外引導廣告車,11939682;
戶外看板,11351938;
戶外看板,100671264;
文宣品,191163817;
加油站,192228348;
台中,56938027;
台北之音,77366777;
台北流行音樂網,202490895;
台北愛樂,92082345;
台視,209806889;
台新無限卡專刊,98221758;
外接待,174662571;
外部取得,187557490;
外部取得,238809610;
外部取得,62623497;
外部取得,123676590;
外部取得,132965373;
外部取得名單,20966775;
外部取得名單,134639001;
外網GOOGLE,244963971;
外網HINET,230248403;
外網MSN,215532835;
外網PChome,259679539;
外網Yahoo雅虎,12377856;
外購名單,18504505;
平面廣告,220594953;
未購,65709812;
未購,106835356;
民生報,131776028;
民視,165660185;
民間機構,222656520;
民間機構,80471096;
民間機構,242100998;
企業之友,2561572;
企業集團,74807421;
企業集團,60091853;
企業集團,45376285;
企業集團,30660717;
企業集團,15945149;
企業集團,1229581;
企業集團,44671965;
企業集團,29956397;
企業集團,15240829;
企業集團,525261;
企業通路,46708276;
全員行銷,258673060;
全員行銷,164557376;
全員行銷,194690618;
全員行銷,119923433;
同行代銷,31195949;
名單資料庫,61423844;
好事989,46746296;
年代,21367478;
百貨公司,172822483;
百貨公司,144817968;
百貨賣場,126633651;
百貨賣場,150543914;
百貨賣場百貨公司,75395165;
百貨賣場其他,14471326;
百貨賣場賣場,175941871;
自由,183238726;
自辦活動,77339065;
自辦活動,147680941;
住宅,166256518;
住宅,204850418;
住宅,68377155;
住展,94945318;
告指示牌,85167054;
亞洲週刊,40619647;
亞洲電台亞洲聯播網FM927,97821055;
其他,21563108;
其他,143391347;
其他,87595951;
其他,115386832;
其他,3788937;
其他行銷支出,175354127;
其他行銷支出,160638559;
其他行銷支出,145922991;
其他行銷支出,131207423;
其他行銷支出,116491855;
其他行銷支出,13883582;
其他報紙,175922732;
其他當地電台,53674351;
其他電視,246637599;
其他網路,140765650;
其他廠商,96618946;
其他廣播,217206463;
其他雜誌,114197487;
協力廠商,40802513;
協力廠商,238837322;
協力廠商舊,103837854;
協力廠商舊,251398042;
定點,251090620;
往來地主,192131262;
往來地主,172152308;
往來廠商,177950926;
房屋仲介,45911517;
旺報,58198188;
東森,224522457;
直效通路,220432119;
長榮航空機上誌,257230033;
附近店家,249066496;
非凡,36083046;
信箱,206943916;
客戶資料庫,202273058;
客戶資料庫舊,5822792;
客戶資料庫舊,144530129;
客戶資料庫案內來人來電舊檔,226754940;
客戶資料庫案內清檔名單,25661528;
客戶資料庫體系清檔名單,126208234;
建材廠商,206846830;
建材廠商,71605602;
建材廠商,59387533;
活動名單,172841922;
活動名單,6251207;
活動名單外部取得,60221107;
活動名單自辦活動,221691652;
活動廠商,177415694;
活動廠商,10681763;
派夾報,60692240;
派夾報,129112658;
派夾報,206543213;
科學人雜誌,258490194;
訂戶,221659484;
風水師地理師,16480381;
飛揚,101084731;
飛碟,62651209;
食衣住行,19501541;
食衣住行,202318774;
食衣住行育樂,38946019;
俱樂部社團工會,102311519;
員購,243957492;
員購,114430288;
員購,555187;
員購,179975050;
員購,105207865;
案內來人來電舊檔,108831768;
案內來人來電舊檔,162396509;
案內清檔名單,138262904;
案內清檔名單,191827645;
海外,151540950;
海外,43379873;
海外,53661587;
租售報導,70050783;
訊息行銷,227180357;
訊息行銷,106397210;
訊息行銷EDM,20792533;
訊息行銷簡訊,182263078;
財訊,50798614;
財訊快報,161207164;
配套廠商,221562398;
配套廠商,233076147;
配套廠商,74103101;
商業周刊,80229750;
國家地理頻道,150944617;
國語日報,117060460;
康健雜誌,99481919;
捷運可樂報,87629324;
捷運爽報,72913756;
掃街,23601017;
掃街,212669862;
接待中心,141349219;
接待中心,72275777;
接待中心,239397354;
接待中心,165259482;
接待中心,159533536;
產業相關性,36278676;
異業合作,235147687;
異業合作,62250506;
異業合作舊,149078680;
異業合作舊,59170124;
異業合作舊,238918309;
異業合作舊,111334514;
異業合作公部門,174862439;
異業合作民間機構,10860250;
異業合作食衣住行,142834504;
異業合作精品名品,240849566;
異業合作藝文,76847377;
通案行銷,11371377;
通案行銷,66542314;
通案行銷,167089020;
通案行銷,5618475;
通案行銷,106165181;
通案行銷,206711887;
通案行銷,209406186;
報紙,136331647;
報紙,6259671;
報紙,32819370;
報紙工商,35690807;
報紙中時,79837511;
報紙自由,94553079;
報紙經濟,20975239;
報紙聯合,50406375;
報紙蘋果,65121943;
壹週刊,55335215;
媒體通路,205716551;
華視,180375753;
虛擬通路,17277140;
集團之友,146458223;
集團之友,191115929;
集團之友,27113740;
集團之友,125128802;
集團之友,225675508;
集團之友,64204963;
集團之友,164751669;
集團之友,3281124;
集團之友,103827830;
集團之友,223143864;
集團之友,61673319;
集團之友,162220025;
集團之友,749480;
集團之友,101296186;
集團之友,201842892;
集團之友,40372347;
集團之友,59141675;
集團之友,159688381;
集團之友,260235087;
集團之友,98764542;
集團之友,199311248;
集團之友,175968020;
集團之友,109260183;
集團之友,62263270;
集團名單,33220073;
集團相關性,50994244;
搜房網,182850787;
會計師律師估價師,117027087;
會員,200830031;
當代設計,143628623;
經濟,109660886;
零售,236375052;
電子時報,220069436;
電波廣告,205879385;
電視,236878353;
電視,45412461;
電視,3388234;
電視TVBS,163137005;
電視三立,133705869;
電視中天,148421437;
電視中視,89559165;
電視台視,104274733;
電視民視,60128029;
電視年代,177852573;
電視東森,118990301;
電視非凡,192568141;
電視華視,74843597;
電開個人自有名單,8885449;
電開個人自有名單,197954294;
電影,207447217;
電影,131644302;
電影,235974349;
電影,90492297;
電影影廳,139505489;
實體通路,31992708;
實體通路,138691319;
管委會員工,219635360;
精品名品,4785973;
精品名品,40848229;
精品名品,24230451;
網站,170290839;
網路BLOG,127239427;
網路EDM,200817267;
網路MSN互動,156670563;
網路行銷,241895925;
網路行銷,121112778;
網路行銷網站,84248016;
網路真人帶看,27093424;
網路新聞稿,171386131;
網路聯網,141954995;
網路關鍵字,186101699;
說明會,38316585;
說明會,227385430;
遠見,187775327;
遠東航空機上誌,24643918;
銀行人員,131742655;
廠辦,180972086;
廠辦,104303712;
廠辦,83092723;
廣告車,258653621;
廣告車,85955696;
廣播,222162785;
廣播,204821439;
廣播,250689917;
廣播Iradio,31097596;
廣播NEW989,16382028;
廣播中廣,1666460;
廣播台北之音,234252575;
廣播台北愛樂,248968143;
廣播飛碟,219537007;
數位安全,236277966;
數位安全,132529441;
數位安全,88818669;
數位服務平台,145231435;
數位客服,41808992;
緯來電視,14051484;
衛視,261353167;
賣場,158106915;
賣場,130102400;
鄰里長及地方公職人員,1764813;
親朋好友同仁,148519790;
錢潮雜誌,25904079;
應試者,177885771;
應試者,118249805;
應徵人員,133804222;
環宇電台FM967,68389919;
聯合,139092022;
聯合晚報,190638300;
聯合電子報,184912354;
簡訊,8820294;
簡訊,112523859;
雜誌,121616079;
雜誌,136237513;
雜誌,18103802;
雜誌天下,165668649;
雜誌住展,195099785;
雜誌財訊,150953081;
雜誌商業,180384217;
離職者,163170203;
離職者,103534237;
藝文,252087656;
藝文,141394935;
藝文,9514883;
關係企業,26086945;
關係企業,230544503;
關係企業,69073958;
關係企業,169620664;
關係企業,8150119;
關係企業,108696825;
關係企業,209243531;
關係企業,224121754;
關係企業舊,204384560;
關係企業舊,87395853;
關係企業員工,207382062;
麗晶精品專刊,54075054;
蘋果,153807590;
蘋果線上,42222459;
體系名單,47935641;
體系清檔名單,123547336;
體系清檔名單,177112077;
